name,type,length_km,duration_hour,difficulty,region,type_of_view,rating,elevation_gain
High Junk Peak Country Trail,Country Trail,6.4,3,Hard,Sai Kung,"Port Shelter, Clearwater Bay, Joss House Bay, Ninepin Group, Basalt Island",4.6/5 (AllTrails),371 m
Lin Ma Hang Country Trail,Country Trail,2.6,1.5,Hard,North New Territories,"lush green hills, Fung Shui Woods, remnants of rice terraces, views of the MacIntosh Fort (Kong Shan), Lin Ma Hang Lead Mine, Robin's Nest, upland grassland, and secondary woodland",NaN,~430 m/~50 m
Tai Lam Nature Trail,Nature Trail,10,4,Hard,West New Territories,"Pak Kung Temple, Kat Hing Bridge, Rhodoleia, Romer's Tree Frogs, Tai Lam Chung Reservoir",NaN,NaN
Rotary Park Nature Trail,Nature Trail,0.8,1,Easy,West New Territories,"lush woodlands, Steep Island, Lamma Island, Tsing Yi, Victoria Peak, Mount Davis",3.7/5 (AllTrails),NaN
Pat Sin Leng Nature Trail,Nature Trail,4,2,Moderate,North New Territories,"Reservoir, harbor views",3.9/5 (AllTrails),951ft
Pak Tam Chung Nature Trail,Nature Trail,0.9,0.5,Easy,Sai Kung,"views of fresh and sea water coming together, mangroves, plants like Longans, Night-blooming Cereus, Sandpaper Vine, Sheung Yiu Folk Museum",4.4/5 (AllTrails),95 ft
Eagle's Nest Nature Trail,Nature Trail,3,1.5,Easy,Central New Territories,"Nature/Wildlife, City Views",3.6/5 (AllTrails),521ft
Tsiu Hang Nature Trail,Nature Trail,0.8,1,Easy,Sai Kung,"mosses, fungi, decomposing logs, host and nectar plants, special tree species",NaN,~40 m/~50 m
Pineapple Dam Nature Trail,Nature Trail,NaN,NaN,Easy,Central New Territories,"reservoir scenery, woodlands",NaN,NaN
Quarry Bay Tree Walk,Tree Walk,1.1,0.6,Easy,Hong Kong Island,"Escape from the city, nature, and wartime history",3/5 (official hiking page),NaN
Tai Tan Tree Walk,Tree Walk,0.23,0.3,Easy,Sai Kung,"Tree species such as Myrobalan, Ivy Tree, Brisbane Box and Taiwan Acacia",NaN,~8 m/~8 m
Tai Tong Tree Walk,Tree Walk,0.65,1,Easy,West New Territories,undefined,2-Heart,NaN
Pok Fu Lam Family Walk,Family Walk,3.5,1,Easy,Hong Kong Island,"reservoir, woodlands, streams",1-Heart (hiking.gov.hk),209.9 ft
Ma On Shan Family Walk,Family Walk,0.44,0.25,Easy,Central New Territories,"Ma On Shan New Town, Tolo Harbour, Chinese University of Hong Kong, Ma On Shan Country Park, Shing Mun River, Ma On Shan Mine, Grace Youth Camp",NaN,NaN
Tai Mo Shan Family Walk,Family Walk,0.5,0.33,Easy,West New Territories,Forests,4.6/5 (AllTrails),18 m
Sheung Yiu Family Walk,Family Walk,1.8,1,Easy,Sai Kung,"natural habitats, Hakka village, woods, rolling hills, bay, mangroves",NaN,NaN
Ap Chau Geosite,Geo Route,1,1,Easy,North New Territories,"beaches, views",3.9/5 (AllTrails),55 ft
Lai Chi Chong Geosite,Geo Route,1,1,Easy,Sai Kung,"Beaches, Views, shoreside mangroves, and rocks of varying colours by the shore and under the water",4.0/5 (AllTrails),16 ft
High Island Geo Trail – Po Pin Chau Section,Geo Route,1.9,2,Moderate,Sai Kung,"Eroded hexagonal volcanic rock columns, pebble beach, East Dam views, High Island Reservoir views, Po Pin Chau sea backdrop",4.0/5 (AllTrails),183 ft
High Island Geo Trail – East Dam Section (Old),Geo Route,2.8,2,Easy,Sai Kung,undefined,4.0/5 (AllTrails),NaN
War Relics Trail (Shing Mun),Recommended Route,0.25,0.5,Easy,Central New Territories,"military relics of the Second World War, defence infrastructure, tunnels",NaN,NaN
Lion Rock War Relics Trail,Recommended Route,9,4,Hard,Central New Territories,"war ruins, pillboxes, direction slabs, trenches, military caves and blockhouse",NaN,NaN
Pinewood Battery Heritage Trail,Recommended Route,0.38,0.5,Easy,Hong Kong Island,stone staircases and rewarding views,4.4/5 (AllTrails),"1,558 ft"
Lion Rock Historic Walk,Recommended Route,7,4,Hard,Central New Territories,"relics, ancient stone trails, rock-forms, awe-inspiring scenery, Tolo Harbour, Pat Sin Leng, and the Plover Cove Reservoir to the north. To the south, you can admire the Kowloon Peninsula, Lei Yue Mun, and Victoria Harbour, where skyscrapers rise from beneath the mountains, creating a unique landscape where the city meets the countryside.",NaN,NaN
Nam Chung Country Trail,Country Trail,13.2,6,Hard,North New Territories,Forests,4.1/5 (AllTrails),"1,282 ft"
Nei Lak Shan Country Trail,Country Trail,NaN,NaN,Moderate,Lantau,"Forests, Views",4.3/5 (AllTrails),820 ft
Wong Lung Hang Country Trail,Country Trail,NaN,NaN,Hard,Lantau,undefined,4.5/5 (AllTrails),NaN
Tai Lam Chung Country Trail,Country Trail,NaN,NaN,Hard,West New Territories,undefined,4.4/5 (AllTrails),"1,243 ft"
Shing Mun Reservoir Walk,Recommended Route,NaN,NaN,Hard,Central New Territories,"forests, lakes",4.4/5 (AllTrails),866 ft
Hong Kong Trail (Dragon’s Back) highlight,Hong Kong Trail,8.5,2.75,Hard,Hong Kong Island,"Lush countryside, craggy coastline, beaches, forests",4.7/5 (AllTrails),557 ft
Tai Tam to Tai Koo (Tai Tam Reservoir Section),Recommended Route,NaN,NaN,Moderate,Hong Kong Island,"lush green, biodiversity, reservoirs",NaN,~390 m/~600 m
Wong Shek Family Walk,Family Walk,NaN,NaN,Easy,Sai Kung,beaches,4.4/5 (Wanderlog),~130 m
Ngong Ping Tree Walk,Tree Walk,NaN,NaN,Easy,Lantau,undefined,NaN,~10 m
Nam Shan Tree Walk,Tree Walk,0.44,NaN,Easy,Lantau,wooded path,NaN,~30 m/~20 m
Kei Ling Ha Tree Walk,Tree Walk,0.65,NaN,Easy,Central New Territories,Forest,NaN,~30 m/~30 m
Kap Lung Ancient Trail Country Trail,Country Trail,NaN,NaN,Moderate,West New Territories,"Forests, Views",3.6/5 (AllTrails),"1,463ft"
War Department Marker Stone Spur (Beacon Hill),Recommended Route,NaN,NaN,Hard,Central New Territories,undefined,NaN,NaN
Pak Tam Chung to Biu Tsim Kok Hiking Trail,Recommended Route,NaN,NaN,Hard,Sai Kung,undefined,NaN,NaN
Shui Long Wo to Tai Shui Tseng,Recommended Route,NaN,NaN,Hard,Sai Kung,"Pyramid Hill, Ma On Shan, The Hunch Backs",4.7/5 (AllTrails),"1,729 ft"
Tai Tong to Wong Nai Tun Reservoir,Recommended Route,7.1,3.5,Hard,West New Territories,"Sweet Gum Woods, Thousand-Island Lake",5 hearts,NaN
Hong Kong Trail (Section 6) Mount Parker Road to Tai Tam Road,Hon g Kong Trail,NaN,NaN,Moderate,Hong Kong Island,Tai Tam Reservoir,4.4/5 (AllTrails),180 ft
MacLehose Trail overall,Long-distance Trail,100,NaN,Hard,New Territories,"beaches, mountains",4.3/5 (AllTrails),"16,571 ft"
Hong Kong Trail overall,Long-distance Trail,50,NaN,Moderate,Hong Kong Island,Views and tourist attractions,4.6/5 (AllTrails),"5,524 ft"
Lantau Trail overall,Long-distance Trail,70,NaN,Moderate,Lantau,"mountain peaks, traditional villages, coastal scenery",4.4/5 (AllTrails),"3,059 m (10,036 ft)"
Wilson Trail overall,Long-distance Trail,78,NaN,Hard,Hong Kong Island / New Territories,"Tai Tam, Quarry Bay, Ma On Shan, Lion Rock, Kam Shan, Shing Mun, Tai Mo Shan, Pat Sin Leng, monkey territory",NaN,"5,407 m (17,740 ft)"
